#labels: pt_diff_lower[1]   pt_diff_center[2]   pt_diff_upper[3]   tot_scale01[4]   tot_scale01_Err[5]   tot_scale02[6]   tot_scale02_Err[7]   tot_scale03[8]   tot_scale03_Err[9]   tot_scale04[10]  tot_scale04_Err[11]  tot_scale05[12]  tot_scale05_Err[13]  tot_scale06[14]  tot_scale06_Err[15]  tot_scale07[16]  tot_scale07_Err[17] 
#neval: 3736776
#overflow:lower center upper   -5.9120480634E+001    2.0475166826E+000   -3.9589693654E+001    1.3738726956E+000   -9.0998624889E+001    3.1448944071E+000   -4.4108839578E+001    1.5276192601E+000   -5.3063325614E+001    1.8414452719E+000   -8.1162230332E+001    2.8108875100E+000   -6.6285542160E+001    2.2908151751E+000
    1.0000000000E-002    1.1294627059E-002    1.2589254118E-002   -3.8548058376E+003    6.4689613282E+002   -2.5797317119E+003    4.3475497531E+002   -5.9380465748E+003    9.9182313314E+002   -2.8760086263E+003    4.8263879860E+002   -3.4576964657E+003    5.8271592145E+002   -5.2919840286E+003    8.8807689602E+002   -4.3254130165E+003    7.2246733604E+002
    1.2589254118E-002    1.4219093021E-002    1.5848931925E-002    2.1854119029E+003    1.1093527699E+003    1.4721653225E+003    7.4323651553E+002    3.3422826747E+003    1.7066071942E+003    1.6305006658E+003    8.2767025636E+002    1.9731900062E+003    9.9618354152E+002    3.0001938809E+003    1.5229501531E+003    2.4345974394E+003    1.2431328853E+003
    1.5848931925E-002    1.7900777537E-002    1.9952623150E-002    5.4663419190E+003    1.0083019630E+003    3.6633383510E+003    6.7501789908E+002    8.4066335006E+003    1.5525783365E+003    4.0783497732E+003    7.5227787488E+002    4.9100889098E+003    9.0474796009E+002    7.5043453157E+003    1.3842248116E+003    6.1235898895E+003    1.1309346367E+003
    1.9952623150E-002    2.2535743732E-002    2.5118864315E-002    5.7571204852E+003    1.3153601977E+003    3.8719116780E+003    8.8181821399E+002    8.8174343826E+003    2.0220052441E+003    4.2952949839E+003    9.8136908435E+002    5.1896463740E+003    1.1819289998E+003    7.9035341706E+003    1.8057628454E+003    6.4228269298E+003    1.4728762552E+003
    2.5118864315E-002    2.8370820458E-002    3.1622776602E-002    2.6530010499E+003    1.0568766079E+003    1.7721310207E+003    7.0644420411E+002    4.0942085997E+003    1.6301740943E+003    1.9793614067E+003    7.8851863602E+002    2.3752435723E+003    9.4686963629E+002    3.6421131895E+003    1.4509094270E+003    2.9823179975E+003    1.1874572147E+003
    3.1622776602E-002    3.5716746829E-002    3.9810717055E-002    1.0135308595E+003    9.2673240586E+002    6.7576346505E+002    6.1949798902E+002    1.5676028069E+003    1.4292521324E+003    7.5617907044E+002    6.9142014042E+002    9.0574726589E+002    8.3033285874E+002    1.3914031853E+003    1.2722438684E+003    1.1418788149E+003    1.0411009242E+003
    3.9810717055E-002    4.4964720209E-002    5.0118723363E-002    4.8767474688E+002    7.6680380928E+002    3.2627576718E+002    5.1361311778E+002    7.5176505755E+002    1.1800571371E+003    3.6384628382E+002    5.7209998715E+002    4.3731778844E+002    6.8841199799E+002    6.6949337538E+002    1.0526894694E+003    5.4760337837E+002    8.5958141905E+002
    5.0118723363E-002    5.6607228905E-002    6.3095734448E-002    8.8865957624E+002    6.4240706975E+002    5.8932445157E+002    4.3021592437E+002    1.3824327275E+003    9.8883902148E+002    6.6301461468E+002    4.7928958086E+002    7.8989030680E+002    5.7663208710E+002    1.2199764352E+003    8.8191418613E+002    1.0069965668E+003    7.2029363880E+002
    6.3095734448E-002    7.1264278960E-002    7.9432823472E-002   -9.2182177793E+001    5.1648273702E+002   -5.9729037464E+001    3.4548874961E+002   -1.4663450650E+002    7.9596432672E+002   -6.8775639991E+001    3.8533946185E+002   -8.0056728685E+001    4.6306955989E+002   -1.2655024226E+002    7.0904178070E+002   -1.0681202902E+002    5.7979916731E+002
    7.9432823472E-002    8.9716411736E-002    1.0000000000E-001    1.0181627155E+003    8.7966613659E+002    6.7443945088E+002    5.8210712594E+002    1.5858515629E+003    1.3719482158E+003    7.5963482364E+002    6.5630475404E+002    9.0397264757E+002    7.8021669568E+002    1.3977619252E+003    1.2076299927E+003    1.1551716387E+003    9.9935940145E+002
