#labels: ptj1_lower[1]   ptj1_center[2]   ptj1_upper[3]   tot_scale01[4]   tot_scale01_Err[5]   tot_scale02[6]   tot_scale02_Err[7]   tot_scale03[8]   tot_scale03_Err[9]   tot_scale04[10]  tot_scale04_Err[11]  tot_scale05[12]  tot_scale05_Err[13]  tot_scale06[14]  tot_scale06_Err[15]  tot_scale07[16]  tot_scale07_Err[17] 
#neval: 1990110
#overflow:lower center upper    3.5502834358E+002    4.4425325908E+000    2.3237744381E+002    2.9053517401E+000    5.6071134233E+002    7.0265530088E+000    2.6488093610E+002    3.3145021026E+000    3.1146287905E+002    3.8941353463E+000    4.8739272562E+002    6.0988315644E+000    4.0843535127E+002    5.1183067466E+000
    1.0000000000E-002    1.1294627059E-002    1.2589254118E-002    6.2082054884E+003    9.7466658223E+002    4.1690603042E+003    6.5489892287E+002    9.5245129362E+003    1.4944391720E+003    4.6318422486E+003    7.2718305833E+002    5.5879241289E+003    8.7778185637E+002    8.5227961342E+003    1.3380492309E+003    6.9378796059E+003    1.0885846996E+003
    1.2589254118E-002    1.4219093021E-002    1.5848931925E-002    1.4485468071E+004    1.0994001965E+003    9.7087775864E+003    7.3589311488E+002    2.2272185166E+004    1.6929047157E+003    1.0807374712E+004    8.2024480148E+002    1.3012983401E+004    9.8634094806E+002    1.9886051051E+004    1.5092869852E+003    1.6223584374E+004    1.2331516772E+003
    1.5848931925E-002    1.7900777537E-002    1.9952623150E-002    2.1816646528E+004    2.1114299992E+003    1.4609524769E+004    1.3990444858E+003    3.3578468989E+004    3.2883392123E+003    1.6277049028E+004    1.5753039575E+003    1.9581610726E+004    1.8751838230E+003    2.9950495523E+004    2.8986294781E+003    2.4459347870E+004    2.3953037506E+003
    1.9952623150E-002    2.2535743732E-002    2.5118864315E-002    2.2075914498E+004    1.0392896292E+003    1.4785315607E+004    6.9491696031E+002    3.3973305409E+004    1.6026504254E+003    1.6470484689E+004    7.7539727415E+002    1.9817228778E+004    9.3141930478E+002    3.0306425760E+004    1.4267655365E+003    2.4746956020E+004    1.1674083259E+003
    2.5118864315E-002    2.8370820458E-002    3.1622776602E-002    1.9979001545E+004    9.8080468695E+002    1.3379841289E+004    6.5311814143E+002    3.0748500712E+004    1.5195723857E+003    1.4906011666E+004    7.3176259952E+002    1.7933426846E+004    8.7539501836E+002    2.7427725685E+004    1.3464757908E+003    2.2397932307E+004    1.1068923245E+003
    3.1622776602E-002    3.5716746829E-002    3.9810717055E-002    1.8758148965E+004    9.8885106900E+002    1.2569188839E+004    6.6069655290E+002    2.8852716440E+004    1.5264454253E+003    1.3995153196E+004    7.3776587573E+002    1.6846883583E+004    8.8555260430E+002    2.5751705510E+004    1.3575220865E+003    2.1016998382E+004    1.1118988085E+003
    3.9810717055E-002    4.4964720209E-002    5.0118723363E-002    1.7127428139E+004    6.9143184580E+002    1.1474663889E+004    4.6331628467E+002    2.6349504306E+004    1.0640153421E+003    1.2778498620E+004    5.1586617764E+002    1.5379856980E+004    6.2099755282E+002    2.3513006876E+004    9.4921675409E+002    1.9193599691E+004    7.7505384179E+002
    5.0118723363E-002    5.6607228905E-002    6.3095734448E-002    1.7000079704E+004    8.3343447122E+002    1.1393003562E+004    5.5911493945E+002    2.6143090034E+004    1.2805150850E+003    1.2683486001E+004    6.2181205220E+002    1.5270405046E+004    7.4939953684E+002    2.3338179423E+004    1.1441618843E+003    1.9043242673E+004    9.3275735494E+002
    6.3095734448E-002    7.1264278960E-002    7.9432823472E-002    1.5331007912E+004    6.5958939438E+002    1.0270395790E+004    4.4202115267E+002    2.3587442464E+004    1.0146380296E+003    1.1438218386E+004    4.9210903687E+002    1.3765738143E+004    5.9245501007E+002    2.1046831521E+004    9.0550255643E+002    1.7181648775E+004    7.3908624413E+002
    7.9432823472E-002    8.9716411736E-002    1.0000000000E-001    1.3068671810E+004    6.5786184439E+002    8.7493095945E+003    4.3726793704E+002    2.0120623696E+004    1.0209742617E+003    9.7503258126E+003    4.9082013961E+002    1.1726977934E+004    5.8608412398E+002    1.7941033974E+004    9.0313092804E+002    1.4656336312E+004    7.4370170483E+002
