#labels: pt_diff_lower[1]   pt_diff_center[2]   pt_diff_upper[3]   tot_scale01[4]   tot_scale01_Err[5]   tot_scale02[6]   tot_scale02_Err[7]   tot_scale03[8]   tot_scale03_Err[9]   tot_scale04[10]  tot_scale04_Err[11]  tot_scale05[12]  tot_scale05_Err[13]  tot_scale06[14]  tot_scale06_Err[15]  tot_scale07[16]  tot_scale07_Err[17] 
#neval: 200
#overflow:lower center upper   -1.3236027986E-002    9.8681086559E-003   -9.1851104313E-003    6.8497529569E-003   -1.9587897700E-002    1.4599590846E-002   -9.8751875632E-003    7.3624371279E-003   -1.2311095657E-002    9.1809417549E-003   -1.8170785159E-002    1.3547212389E-002   -1.4268286146E-002    1.0634685916E-002
    1.0000000000E-002    1.1294627059E-002    1.2589254118E-002    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000
    1.2589254118E-002    1.4219093021E-002    1.5848931925E-002    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000
    1.5848931925E-002    1.7900777537E-002    1.9952623150E-002    1.8764561024E+000    1.8717590835E+000    1.3372950236E+000    1.3339475965E+000    2.6967654920E+000    2.6900151298E+000    1.3999937130E+000    1.3964893427E+000    1.7924190548E+000    1.7879323918E+000    2.5760508162E+000    2.5696026188E+000    1.9643875161E+000    1.9594703932E+000
    1.9952623150E-002    2.2535743732E-002    2.5118864315E-002    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000
    2.5118864315E-002    2.8370820458E-002    3.1622776602E-002    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000
    3.1622776602E-002    3.5716746829E-002    3.9810717055E-002   -9.4045584298E-001    9.3810175708E-001   -6.7023519340E-001    6.6855750568E-001   -1.3515844367E+000    1.3482012413E+000   -7.0165897609E-001    6.9990263047E-001   -8.9833754755E-001    8.9608888934E-001   -1.2910837822E+000    1.2878520280E+000   -9.8452594498E-001    9.8206154576E-001
    3.9810717055E-002    4.4964720209E-002    5.0118723363E-002   -1.5780071782E-001    1.5211085241E-001   -1.1016804364E-001    1.0608315933E-001   -2.3192178750E-001    2.2381017249E-001   -1.1773257716E-001    1.1348746010E-001   -1.4766173295E-001    1.4218663258E-001   -2.1663318818E-001    2.0882198363E-001   -1.6893729374E-001    1.6302860228E-001
    5.0118723363E-002    5.6607228905E-002    6.3095734448E-002   -4.7962725526E-003    9.1652972951E-002   -4.5356389392E-003    6.4794509704E-002   -4.3570635233E-003    1.3289405483E-001   -3.5784217978E-003    6.8380808772E-002   -6.0792611330E-003    8.6846142243E-002   -6.5844555639E-003    1.2582373522E-001   -3.1737877162E-003    9.6803160321E-002
    6.3095734448E-002    7.1264278960E-002    7.9432823472E-002    4.6634415390E-002    4.6517683253E-002    3.2522032790E-002    3.2440625822E-002    6.8618542611E-002    6.8446781284E-002    3.4793187152E-002    3.4706095183E-002    4.3590314960E-002    4.3481202612E-002    6.4021014760E-002    6.3860761655E-002    4.9983362988E-002    4.9858247991E-002
    7.9432823472E-002    8.9716411736E-002    1.0000000000E-001    8.1897289094E-002    5.7671445250E-002    5.6354757694E-002    3.9773599861E-002    1.2242762045E-001    8.6164658135E-002    6.1102249978E-002    4.3027737587E-002    7.5534074185E-002    5.3309820953E-002    1.1243086270E-001    7.9172954495E-002    8.9179162944E-002    6.2764366895E-002
