#labels: pth_lower[1]   pth_center[2]   pth_upper[3]   tot_scale01[4]   tot_scale01_Err[5]   tot_scale02[6]   tot_scale02_Err[7]   tot_scale03[8]   tot_scale03_Err[9]   tot_scale04[10]  tot_scale04_Err[11]  tot_scale05[12]  tot_scale05_Err[13]  tot_scale06[14]  tot_scale06_Err[15]  tot_scale07[16]  tot_scale07_Err[17] 
#neval: 3629958
#overflow:lower center upper    4.0953038236E+002    3.9917358152E+000    2.6900472149E+002    2.6422859749E+000    6.4425596366E+002    6.2282406950E+000    3.0554403050E+002    2.9781698799E+000    3.6055558431E+002    3.5415399340E+000    5.6221463129E+002    5.4799652875E+000    4.6929122163E+002    4.5367972503E+000
    1.0000000000E-002    1.1294627059E-002    1.2589254118E-002    9.0687552035E+003    5.0526501053E+002    6.0792509559E+003    3.3796581445E+002    1.3941759005E+004    7.7861798333E+002    6.7660523756E+003    3.7697009657E+002    8.1482134160E+003    4.5298633062E+002    1.2449837869E+004    6.9364177563E+002    1.0155505706E+004    5.6716368213E+002
    1.2589254118E-002    1.4219093021E-002    1.5848931925E-002    1.1740074562E+004    6.6965675236E+002    7.8732818303E+003    4.4911062976E+002    1.8039876418E+004    1.0289640678E+003    8.7590807773E+003    4.9962013071E+002    1.0552810059E+004    6.0195726171E+002    1.6117098939E+004    9.1932330380E+002    1.3140670975E+004    7.4952166780E+002
    1.5848931925E-002    1.7900777537E-002    1.9952623150E-002    1.2612392580E+004    6.3294238856E+002    8.4598954671E+003    4.2498190456E+002    1.9376329894E+004    9.7127682564E+002    9.4099032186E+003    4.7222813447E+002    1.1339066974E+004    5.6961676387E+002    1.7314641232E+004    8.6892081012E+002    1.4114175172E+004    7.0750092162E+002
    1.9952623150E-002    2.2535743732E-002    2.5118864315E-002    1.8417138104E+004    1.1151344730E+003    1.2330478989E+004    7.3595218901E+002    2.8354209955E+004    1.7456828668E+003    1.3740730478E+004    8.3198389201E+002    1.6526933179E+004    9.8642012700E+002    2.5283556373E+004    1.5308874349E+003    2.0653874514E+004    1.2715965258E+003
    2.5118864315E-002    2.8370820458E-002    3.1622776602E-002    2.0115990966E+004    1.2966348267E+003    1.3453625513E+004    8.5312735966E+002    3.1014026168E+004    2.0428560447E+003    1.5008217270E+004    9.6739838627E+002    1.8032322187E+004    1.1434737352E+003    2.7615788550E+004    1.7800561384E+003    2.2591347305E+004    1.4880644696E+003
    3.1622776602E-002    3.5716746829E-002    3.9810717055E-002    1.9788764306E+004    1.2193785898E+003    1.3240943468E+004    8.0009426889E+002    3.0487852770E+004    1.9219811902E+003    1.4764078723E+004    9.0975875069E+002    1.7747257679E+004    1.0723917968E+003    2.7166562744E+004    1.6739966405E+003    2.2208070206E+004    1.4000163779E+003
    3.9810717055E-002    4.4964720209E-002    5.0118723363E-002    1.7142490825E+004    7.4950424950E+002    1.1491093556E+004    5.0361452892E+002    2.6355947456E+004    1.1495540631E+003    1.2789736647E+004    5.5919306389E+002    1.5401878185E+004    6.7501057133E+002    2.3533685347E+004    1.0289401554E+003    1.9198293033E+004    8.3736226131E+002
    5.0118723363E-002    5.6607228905E-002    6.3095734448E-002    1.7003063052E+004    8.5325949584E+002    1.1398203830E+004    5.7189776779E+002    2.6139364520E+004    1.3121102159E+003    1.2685711828E+004    6.3660318415E+002    1.5277375130E+004    7.6653276824E+002    2.3342275045E+004    1.1713782262E+003    1.9040528921E+004    9.5577199258E+002
    6.3095734448E-002    7.1264278960E-002    7.9432823472E-002    1.3847749372E+004    5.2248525452E+002    9.2832429106E+003    3.5131705008E+002    2.1288025099E+004    8.0063203238E+002    1.0331583049E+004    3.8981784360E+002    1.2442625741E+004    4.7088141639E+002    1.9010573190E+004    7.1728220268E+002    1.5506698996E+004    5.8319923408E+002
    7.9432823472E-002    8.9716411736E-002    1.0000000000E-001    1.1990741783E+004    4.3901858660E+002    8.0310146615E+003    2.9310489372E+002    1.8452745824E+004    6.7815202204E+002    8.9460995586E+003    3.2754470533E+002    1.0764224389E+004    3.9285781169E+002    1.6461221830E+004    6.0269685334E+002    1.3441414777E+004    4.9398190909E+002
