#labels: ptj1_lower[1]   ptj1_center[2]   ptj1_upper[3]   tot_scale01[4]   tot_scale01_Err[5]   tot_scale02[6]   tot_scale02_Err[7]   tot_scale03[8]   tot_scale03_Err[9]   tot_scale04[10]  tot_scale04_Err[11]  tot_scale05[12]  tot_scale05_Err[13]  tot_scale06[14]  tot_scale06_Err[15]  tot_scale07[16]  tot_scale07_Err[17] 
#neval: 3629958
#overflow:lower center upper    3.5706601742E+002    4.0731230833E+000    2.3376996226E+002    2.6710303996E+000    5.6378054265E+002    6.4238767974E+000    2.6640121177E+002    3.0388916115E+000    3.1332931582E+002    3.5800670007E+000    4.9019010061E+002    5.5916959794E+000    4.1067102909E+002    4.6793031961E+000
    1.0000000000E-002    1.1294627059E-002    1.2589254118E-002    7.1388725454E+003    1.1219647656E+003    4.7973022498E+003    7.5724527197E+002    1.0945264241E+004    1.7121483419E+003    5.3261979689E+003    8.3707986344E+002    6.4299767908E+003    1.0149599233E+003    9.8004416004E+003    1.5402642494E+003    7.9727883269E+003    1.2471691879E+003
    1.2589254118E-002    1.4219093021E-002    1.5848931925E-002    1.6070263980E+004    1.5991922366E+003    1.0747704584E+004    1.0596917551E+003    2.4770193896E+004    2.4903899570E+003    1.1989765446E+004    1.1931316028E+003    1.4405490300E+004    1.4203385644E+003    2.2061702690E+004    2.1954153157E+003    1.8043192783E+004    1.8140587145E+003
    1.5848931925E-002    1.7900777537E-002    1.9952623150E-002    1.9726465978E+004    1.1003780554E+003    1.3218831603E+004    7.3597688477E+002    3.0340203524E+004    1.6962585101E+003    1.4717598943E+004    8.2097436627E+002    1.7717620442E+004    9.8645322750E+002    2.7081037877E+004    1.5106294169E+003    2.2100519016E+004    1.2355946601E+003
    1.9952623150E-002    2.2535743732E-002    2.5118864315E-002    2.4904551740E+004    4.8297082184E+003    1.6628006012E+004    3.1765840327E+003    3.8459523826E+004    7.5829243284E+003    1.8580885434E+004    3.6033676101E+003    2.2287045336E+004    4.2576766150E+003    3.4189657170E+004    6.6303569703E+003    2.8014823204E+004    5.5235807231E+003
    2.5118864315E-002    2.8370820458E-002    3.1622776602E-002    2.1569016326E+004    9.3811869223E+002    1.4452138439E+004    6.2485682357E+002    3.3177174971E+004    1.4528507315E+003    1.6092296117E+004    6.9991526552E+002    1.9370660822E+004    8.3751547514E+002    2.9610541935E+004    1.2878752771E+003    2.4167035853E+004    1.0582906998E+003
    3.1622776602E-002    3.5716746829E-002    3.9810717055E-002    1.9632728390E+004    7.3809879683E+002    1.3148827845E+004    4.9360024947E+002    3.0214241110E+004    1.1382623447E+003    1.4647662836E+004    5.5068363911E+002    1.7623792179E+004    6.6158811406E+002    2.6952352325E+004    1.0132824347E+003    2.2008765027E+004    8.2913710763E+002
    3.9810717055E-002    4.4964720209E-002    5.0118723363E-002    1.8023974776E+004    6.5243156484E+002    1.2068881959E+004    4.3533361707E+002    2.7745388287E+004    1.0087312809E+003    1.3447397643E+004    4.8676869539E+002    1.6176306359E+004    5.8349149340E+002    2.4743810886E+004    8.9567609014E+002    2.0210394468E+004    7.3478362917E+002
    5.0118723363E-002    5.6607228905E-002    6.3095734448E-002    1.5984813407E+004    4.4455069951E+002    1.0710370268E+004    2.9703195748E+002    2.4588149000E+004    6.8625964519E+002    1.1926012148E+004    3.3167212578E+002    1.4355449930E+004    3.9812138016E+002    2.1944393780E+004    6.1029149088E+002    1.7910586992E+004    4.9988769280E+002
    6.3095734448E-002    7.1264278960E-002    7.9432823472E-002    1.4083990037E+004    3.8422319970E+002    9.4394286305E+003    2.5736702859E+002    2.1656667408E+004    5.9125593938E+002    1.0507838409E+004    2.8666274861E+002    1.2651966429E+004    3.4495721436E+002    1.9334890906E+004    5.2747223125E+002    1.5775226739E+004    4.3068475535E+002
    7.9432823472E-002    8.9716411736E-002    1.0000000000E-001    1.2222195103E+004    3.2574843632E+002    8.1887236956E+003    2.1832993588E+002    1.8801462803E+004    5.0097175835E+002    9.1187831578E+003    2.4303566828E+002    1.0975606824E+004    2.9263455737E+002    1.6778967347E+004    4.4719645942E+002    1.3695428440E+004    3.6491963092E+002
