#labels: ptj1_lower[1]   ptj1_center[2]   ptj1_upper[3]   tot_scale01[4]   tot_scale01_Err[5]   tot_scale02[6]   tot_scale02_Err[7]   tot_scale03[8]   tot_scale03_Err[9]   tot_scale04[10]  tot_scale04_Err[11]  tot_scale05[12]  tot_scale05_Err[13]  tot_scale06[14]  tot_scale06_Err[15]  tot_scale07[16]  tot_scale07_Err[17] 
#neval: 1024000
#overflow:lower center upper    9.0818130477E-002    2.4616347273E-004    6.2995688343E-002    1.7089324822E-004    1.3448342875E-001    3.6440688752E-004    6.7757946232E-002    1.8365860717E-004    8.4435124759E-002    2.2905365610E-004    1.2467764039E-001    3.3794002111E-004    9.7960897727E-002    2.6544256175E-004
    1.0000000000E-002    1.1294627059E-002    1.2589254118E-002    3.4207998486E-002    5.7390078485E-003    2.4229116026E-002    4.0431758109E-003    4.9483761336E-002    8.3489502562E-003    2.5522037394E-002    4.2817814370E-003    3.2475054853E-002    5.4191971386E-003    4.6961686078E-002    7.8786686422E-003    3.6045137520E-002    6.0815720553E-003
    1.2589254118E-002    1.4219093021E-002    1.5848931925E-002    1.2815242356E-001    1.0868153107E-002    9.0782478188E-002    7.6899185032E-003    1.8539068494E-001    1.5745160453E-002    9.5612461732E-002    8.1085542057E-003    1.2167864299E-001    1.0307042359E-002    1.7593119012E-001    1.4920101059E-002    1.3504294244E-001    1.1469145806E-002
    1.5848931925E-002    1.7900777537E-002    1.9952623150E-002    1.7977534247E-001    1.0276430887E-002    1.2691752006E-001    7.2280715619E-003    2.6105857293E-001    1.4986773793E-002    1.3412749112E-001    7.6670797758E-003    1.7011158894E-001    9.6880142140E-003    2.4680056044E-001    1.4107768436E-002    1.9016121467E-001    1.0916719097E-002
    1.9952623150E-002    2.2535743732E-002    2.5118864315E-002    2.5509853385E-001    1.2457046584E-002    1.7954335199E-001    8.6992220096E-003    3.7169779129E-001    1.8313697430E-002    1.9032491254E-001    9.2940020697E-003    2.4064766532E-001    1.1659843951E-002    3.5020632004E-001    1.7101377953E-002    2.7075342781E-001    1.3340128651E-002
    2.5118864315E-002    2.8370820458E-002    3.1622776602E-002    2.7238387606E-001    9.8464224797E-003    1.9172337500E-001    6.8942607353E-003    3.9686460143E-001    1.4434542857E-002    2.0322122831E-001    7.3462574207E-003    2.5697293756E-001    9.2405969458E-003    3.7393611571E-001    1.3517441006E-002    2.8908552522E-001    1.0514461073E-002
    3.1622776602E-002    3.5716746829E-002    3.9810717055E-002    2.6867833133E-001    8.6189666992E-003    1.8872213864E-001    6.0242523326E-003    3.9236428184E-001    1.2658060597E-002    2.0045658099E-001    6.4304724080E-003    2.5295028501E-001    8.0744970118E-003    3.6884904146E-001    1.1832355775E-002    2.8580738640E-001    9.2204295441E-003
    3.9810717055E-002    4.4964720209E-002    5.0118723363E-002    2.5883230996E-001    7.2038887757E-003    1.8150007292E-001    5.0113032622E-003    3.7872556400E-001    1.0642388342E-002    1.9311062284E-001    5.3747055324E-003    2.4327032062E-001    6.7168091544E-003    3.5533215112E-001    9.8896976789E-003    2.7587262303E-001    7.7521663870E-003
    5.0118723363E-002    5.6607228905E-002    6.3095734448E-002    2.3984842556E-001    5.3364832398E-003    1.6845615840E-001    3.7287412452E-003    3.5033164217E-001    7.8439140787E-003    1.7894705206E-001    3.9814643015E-003    2.2578714711E-001    4.9977504891E-003    3.2927054975E-001    7.3260717306E-003    2.5518982144E-001    5.7136918057E-003
    6.3095734448E-002    7.1264278960E-002    7.9432823472E-002    2.2199499885E-001    4.4357930622E-003    1.5589810687E-001    3.1056520725E-003    3.2429118705E-001    6.5043467968E-003    1.6562689759E-001    3.3094738487E-003    2.0895519121E-001    4.1626042527E-003    3.0476087197E-001    6.0895793531E-003    2.3622134046E-001    4.7379194394E-003
    7.9432823472E-002    8.9716411736E-002    1.0000000000E-001    2.0309523234E-001    3.8279632113E-003    1.4239503781E-001    2.6674330114E-003    2.9722218082E-001    5.6437113245E-003    1.5152608582E-001    2.8559817746E-003    1.9085659827E-001    3.5752453069E-003    2.7881474997E-001    5.2551337291E-003    2.1650363861E-001    4.1110122862E-003
    1.0000000000E-001    1.1294627059E-001    1.2589254118E-001    1.7301182722E-001    2.9460339700E-003    1.2129715689E-001    2.0594675568E-003    2.5320895902E-001    4.3279697222E-003    1.2908134119E-001    2.1979885546E-003    1.6257843742E-001    2.7603698708E-003    2.3751541971E-001    4.0443968837E-003    1.8444337097E-001    3.1525951061E-003
    1.2589254118E-001    1.4219093021E-001    1.5848931925E-001    1.5649826179E-001    2.5088218478E-003    1.0974945439E-001    1.7565140096E-003    2.2896908645E-001    3.6790383402E-003    1.1676083566E-001    1.8717916233E-003    1.4710068447E-001    2.3543115957E-003    2.1484514053E-001    3.4441799946E-003    1.6678647673E-001    2.6798981996E-003
    1.5848931925E-001    1.7900777537E-001    1.9952623150E-001    1.3543634005E-001    2.0076972938E-003    9.4948170768E-002    1.4047385668E-003    1.9822450831E-001    2.9463355150E-003    1.0104687466E-001    1.4979106547E-003    1.2726205325E-001    1.8828157809E-003    1.8593075206E-001    2.7562223521E-003    1.4439140173E-001    2.1461802004E-003
    1.9952623150E-001    2.2535743732E-001    2.5118864315E-001    1.1453592096E-001    1.6349313768E-003    8.0257299275E-002    1.1417100089E-003    1.6772678684E-001    2.4047922000E-003    8.5453408185E-002    1.2197960004E-003    1.0757141092E-001    1.5302702388E-003    1.5723807890E-001    2.2444789954E-003    1.2217614292E-001    1.7517072918E-003
