#labels: pth_lower[1]   pth_center[2]   pth_upper[3]   tot_scale01[4]   tot_scale01_Err[5]   tot_scale02[6]   tot_scale02_Err[7]   tot_scale03[8]   tot_scale03_Err[9]   tot_scale04[10]  tot_scale04_Err[11]  tot_scale05[12]  tot_scale05_Err[13]  tot_scale06[14]  tot_scale06_Err[15]  tot_scale07[16]  tot_scale07_Err[17] 
#neval: 236844
#overflow:lower center upper    8.3824377248E-005    1.3995802702E-006    1.3242832830E-004    2.1889286457E-006    2.2066287492E-004    3.6075721534E-006    9.6538446305E-005    1.5956991471E-006    1.1498757826E-004    1.9198990931E-006    1.8896656745E-004    3.1234580839E-006    1.5464119414E-004    2.5281972147E-006
    0.0000000000E+000    5.0000000000E+000    1.0000000000E+001    9.1401250825E-006    1.5617712959E-007    1.2111635067E-005    2.0649640284E-007    1.6470570035E-005    2.8021093025E-007    8.8292168796E-006    1.5053306307E-007    1.2538128916E-005    2.1423875132E-007    1.7282511485E-005    2.9465686787E-007    1.1542624102E-005    1.9637264711E-007
    1.0000000000E+001    1.5000000000E+001    2.0000000000E+001    2.6230863858E-005    3.0826958159E-007    3.4800518500E-005    4.0899008183E-007    4.7390722809E-005    5.5731744124E-007    2.5369103648E-005    2.9814819502E-007    3.5982653375E-005    4.2287427361E-007    4.9658064938E-005    5.8360211048E-007    3.3211558443E-005    3.9056970803E-007
    2.0000000000E+001    2.5000000000E+001    3.0000000000E+001    3.9560419427E-005    3.9915346405E-007    5.2617518015E-005    5.3074694068E-007    7.1864109265E-005    7.2518331735E-007    3.8357453444E-005    3.8690728555E-007    5.4267707967E-005    5.4754585353E-007    7.5081758522E-005    7.5734118863E-007    5.0362579917E-005    5.0821060955E-007
    3.0000000000E+001    3.5000000000E+001    4.0000000000E+001    4.9740107917E-005    4.5605681634E-007    6.6378431692E-005    6.0860151076E-007    9.1008467509E-005    8.3502510306E-007    4.8388971951E-005    4.4366220596E-007    6.8231876451E-005    6.2560403768E-007    9.4717682768E-005    8.6843457066E-007    6.3779002689E-005    5.8518805724E-007
    4.0000000000E+001    4.5000000000E+001    5.0000000000E+001    5.4686589076E-005    4.8399848561E-007    7.3229793849E-005    6.4801056795E-007    1.0079998373E-004    8.9246003128E-007    5.3383521577E-005    4.7239087151E-007    7.5017299833E-005    6.6393351876E-007    1.0449412868E-004    9.2466871905E-007    7.0640926159E-005    6.2543862448E-007
    5.0000000000E+001    5.5000000000E+001    6.0000000000E+001    5.7625362203E-005    5.0416849151E-007    7.7465269084E-005    6.7739268982E-007    1.0710969543E-004    9.3671545924E-007    5.6471125293E-005    4.9381003786E-007    7.9048614065E-005    6.9160208258E-007    1.1053787496E-004    9.6659508621E-007    7.5062790746E-005    6.5645295903E-007
    6.0000000000E+001    6.5000000000E+001    7.0000000000E+001    5.6645653862E-005    5.0656983891E-007    7.6458993489E-005    6.8306596135E-007    1.0622045510E-004    9.4848184563E-007    5.5737564100E-005    4.9794577548E-007    7.7704681748E-005    6.9489617353E-007    1.0910198547E-004    9.7469047380E-007    7.4439608499E-005    6.6469887735E-007
    7.0000000000E+001    7.5000000000E+001    8.0000000000E+001    5.5195778461E-005    4.9971323142E-007    7.4829290859E-005    6.7667703037E-007    1.0448573011E-004    9.4422009265E-007    5.4549533096E-005    4.9328833188E-007    7.5715789416E-005    6.8549050042E-007    1.0677650635E-004    9.6557388696E-007    7.3223908106E-005    6.6171222828E-007
    8.0000000000E+001    8.5000000000E+001    9.0000000000E+001    5.2146972158E-005    4.8285502468E-007    7.0920583037E-005    6.5618372095E-007    9.9389934605E-005    9.1934879646E-007    5.1700138371E-005    4.7834898864E-007    7.1533535222E-005    6.6236495591E-007    1.0119903581E-004    9.3633127410E-007    6.9652759572E-005    6.4428235050E-007
    9.0000000000E+001    9.5000000000E+001    1.0000000000E+002    4.9110103092E-005    4.7032760835E-007    6.7068944646E-005    6.4162703579E-007    9.4447969618E-005    9.0296432811E-007    4.8892346482E-005    4.6773736357E-007    6.7367656144E-005    6.4518025007E-007    9.5702999613E-005    9.1555983596E-007    6.6189415921E-005    6.3280006670E-007
