#labels: yh_lower[1]   yh_center[2]   yh_upper[3]   tot_scale01[4]   tot_scale01_Err[5]   tot_scale02[6]   tot_scale02_Err[7]   tot_scale03[8]   tot_scale03_Err[9]   tot_scale04[10]  tot_scale04_Err[11]  tot_scale05[12]  tot_scale05_Err[13]  tot_scale06[14]  tot_scale06_Err[15]  tot_scale07[16]  tot_scale07_Err[17] 
#neval: 225002
#overflow:lower center upper    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000
   -4.4000000000E+000   -4.3000000000E+000   -4.2000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000
   -4.2000000000E+000   -4.1000000000E+000   -4.0000000000E+000   -3.5263861689E-004    2.2427106333E-005   -4.5592384759E-004    2.8461277913E-005   -4.8555103214E-004    2.9965381610E-005   -3.8533814100E-004    2.4025862395E-005   -4.3264904777E-004    2.7566944238E-005   -5.4687734307E-004    3.4332927965E-005   -4.4442306746E-004    2.7251365466E-005
   -4.0000000000E+000   -3.9000000000E+000   -3.8000000000E+000   -1.0519504262E-003    5.7106336741E-005   -1.3205993391E-003    7.0729339257E-005   -1.6481336823E-003    9.7454348162E-005   -1.1742542256E-003    6.1113224527E-005   -1.2106877519E-003    6.8423094695E-005   -1.4703057197E-003    8.2981651503E-005   -1.5050832289E-003    8.3162634048E-005
   -3.8000000000E+000   -3.7000000000E+000   -3.6000000000E+000    9.4433475164E-003    5.1975014915E-004    1.0161662531E-002    5.6535173148E-004    9.1706695647E-003    5.5446204648E-004    8.6331229454E-003    4.7207384314E-004    1.1535050684E-002    6.4437385537E-004    1.2101383573E-002    6.9545336847E-004    8.4626668637E-003    4.8284111238E-004
   -3.6000000000E+000   -3.5000000000E+000   -3.4000000000E+000    4.8463318613E-002    2.2636437644E-003    5.1669981035E-002    2.4078336865E-003    5.0110332298E-002    2.4767088676E-003    4.4620655510E-002    2.0608475895E-003    5.7896688422E-002    2.7367979562E-003    6.0117876589E-002    2.8584379842E-003    4.5684587401E-002    2.1838856790E-003
   -3.4000000000E+000   -3.3000000000E+000   -3.2000000000E+000    1.2905467310E-001    5.8857498190E-003    1.3612019823E-001    6.2112489881E-003    1.3548189759E-001    6.6334952852E-003    1.1824174862E-001    5.3583227286E-003    1.5245240605E-001    7.0332467854E-003    1.5702014015E-001    7.2849136853E-003    1.2224452314E-001    5.8068542958E-003
   -3.2000000000E+000   -3.1000000000E+000   -3.0000000000E+000    2.2506788839E-001    9.0887296249E-003    2.3405578831E-001    9.4804493536E-003    2.2987049319E-001    9.8562810681E-003    2.0234292236E-001    8.1485644190E-003    2.6661123611E-001    1.0865829523E-002    2.7189394478E-001    1.1168470797E-002    2.0526381080E-001    8.5884577911E-003
   -3.0000000000E+000   -2.9000000000E+000   -2.8000000000E+000    4.6078360644E-001    1.2017992216E-002    4.8041016099E-001    1.2602736916E-002    4.7963117644E-001    1.3458626174E-002    4.1655579332E-001    1.0877883202E-002    5.4268979717E-001    1.4258689435E-002    5.5565193193E-001    1.4751397270E-002    4.2709202696E-001    1.1682097460E-002
   -2.8000000000E+000   -2.7000000000E+000   -2.6000000000E+000    7.0624797320E-001    1.6587455032E-002    7.4085258869E-001    1.7498198725E-002    7.5118286152E-001    1.8869860503E-002    6.4195626468E-001    1.5097087663E-002    8.3050658021E-001    1.9644909228E-002    8.5771652078E-001    2.0491151187E-002    6.6512162247E-001    1.6323669074E-002
   -2.6000000000E+000   -2.5000000000E+000   -2.4000000000E+000    1.0109627826E+000    1.9453439943E-002    1.0653311554E+000    2.0623817269E-002    1.0915100115E+000    2.2248640049E-002    9.2067660101E-001    1.7748814084E-002    1.1900059776E+000    2.3052054309E-002    1.2381623523E+000    2.4233047266E-002    9.5963967241E-001    1.9180963792E-002
